price,type,superficie,nombre_chambres,nombre_sdb,category,area,city
500000,Appartements,170,3,3,Location,Almadies,Dakar
300000,Appartements,170,2,3,Location,Fass,Dakar
450000,Appartements,170,2,3,Location,Liberte 1,Dakar
260000,Appartements,170,2,2,Location,Ngor,Dakar
1500000,Appartements,170,3,2,Location,Almadies,Dakar
450000,Appartements,170,3,3,Location,Sacré-cœur,Dakar
250000,Appartements,170,1,2,Location,VDN,Dakar
1500000,Appartements,160,3,4,Location,Almadies,Dakar
275000,Appartements,170,2,2,Location,Ouakam,Dakar
500000,Appartements,170,3,3,Location,Bel air,Dakar
800000,Appartements,160,3,3,Location,Virage,Dakar
450000,Appartements,170,3,3,Location,Ouest foire,Dakar
120000,Appartements,170,3,3,Location,Hann maristes,Dakar
1200000,Appartements,170,3,3,Location,Virage,Dakar
600000,Appartements,150,3,3,Location,Amitié,Dakar
250000,Appartements,130,2,2,Location,Liberte 6,Dakar
500000,Appartements,100,3,2,Location,Hann maristes,Dakar
450000,Villas,170,4,3,Location,Mamelles,Dakar
850000,Appartements,3,3,3,Location,Mermoz,Dakar
700000,Appartements,170,3,3,Location,Ouest foire,Dakar
1000000,Appartements,200,3,3,Location,Virage,Dakar
1500000,Villas,280,4,6,Location,Point-e,Dakar
120000,Appartements,170,1,1,Location,Golf,Dakar
395000,Appartements,170,2,2,Location,Cité keur gorgui,Dakar
1400000,Appartements,160,3,3,Location,Almadies,Dakar
673400,Appartements,300,3,3,Location,Virage,Dakar
1800000,Appartements,200,3,3,Location,Almadies,Dakar
900000,Appartements,170,1,1,Location,Almadies,Dakar
470000,Appartements,120,2,3,Location,VDN,Dakar
450000,Appartements,170,3,4,Location,Liberte 5,Dakar
2600000,Villas,400,4,6,Location,Point-e,Dakar
180000,Appartements,170,1,3,Location,Fass,Dakar
350000,Appartements,100,2,3,Location,Ouakam,Dakar
2000000,Appartements,170,3,3,Location,Mermoz,Dakar
800000,Appartements,170,3,4,Location,Amitié,Dakar
1139600,Appartements,180,3,4,Location,Almadies,Dakar
300000,Appartements,100,2,2,Location,Hann maristes,Dakar
185000,Appartements,55,1,2,Location,Parcelles Assainies,Dakar
130000000,Villas,170,5,4,Location,Virage,Dakar
1200000,Villas,250,4,2,Location,Almadies,Dakar
1500000,Villas,170,4,4,Location,Mamelles,Dakar
2999990,Villas,400,4,4,Location,Fann,Dakar
1600000,Appartements,170,3,4,Location,Almadies,Dakar
500000,Appartements,170,2,2,Location,Mamelles,Dakar
1750000,Appartements,170,2,3,Location,Fann,Dakar
450000,Appartements,170,2,3,Location,Mamelles,Dakar
1400000,Appartements,170,3,3,Location,Plateau,Dakar
160000,Appartements,150,2,3,Location,Keur ndiaye lô,Dakar
750000,Appartements,180,3,3,Location,Ngor,Dakar
550000,Appartements,170,3,4,Location,Point-e,Dakar
1,Appartements,107,3,3,Location,Diamniadio,Dakar
500000,Appartements,100,2,3,Location,Almadies,Dakar
700000,Appartements,170,3,3,Location,Hann maristes,Dakar
325000,Appartements,170,2,2,Location,Patte d‘oie,Dakar
800000,Appartements,150,3,4,Location,Mamelles,Dakar
600000,Appartements,170,3,3,Location,Mamelles,Dakar
700000,Appartements,170,3,3,Location,Mermoz,Dakar
350000,Appartements,90,1,3,Location,Sicap Sacré-cœur,Dakar
1000000,Appartements,170,3,3,Location,Ngor,Dakar
1500000,Appartements,300,3,4,Location,Mamelles,Dakar
850000,Villas,170,4,5,Location,Sacré-cœur,Dakar
600000,Appartements,170,3,3,Location,Point-e,Dakar
2800000,Villas,250,6,3,Location,Plateau,Dakar
700000,Appartements,200,3,3,Location,Almadies,Dakar
300000,Appartements,170,3,3,Location,Parcelles Assainies,Dakar
250000,Appartements,170,2,2,Location,Parcelles Assainies,Dakar
414400,Appartements,95,2,2,Location,Yoff,Dakar
1100000,Appartements,200,3,5,Location,Almadies,Dakar
950000,Appartements,110,2,2,Location,Ouest foire,Dakar
3000000,Villas,320,4,5,Location,Fann,Dakar
1700000,Villas,170,4,5,Location,Almadies,Dakar
900000,Villas,250,4,3,Location,Ouakam,Dakar
650000,Appartements,170,2,4,Location,Cité keur gorgui,Dakar
400000,Appartements,170,2,3,Location,Liberte 3,Dakar
900000,Appartements,170,3,4,Location,Mermoz,Dakar
1300000,Appartements,170,3,3,Location,Plateau,Dakar
1000000,Appartements,170,3,3,Location,Plateau,Dakar
225000,Appartements,100,3,2,Location,Nord foire,Dakar
500000,Appartements,170,3,2,Location,Cité keur gorgui,Dakar
,Appartements,170,2,2,Location,Point-e,Dakar
850000,Villas,170,6,5,Location,Sacré-cœur,Dakar
800000,Appartements,170,3,4,Location,Liberte 6,Dakar
,Villas,306,4,4,Location,Point-e,Dakar
400000,Appartements,170,2,3,Location,Almadies,Dakar
850000,Appartements,150,3,5,Location,Almadies,Dakar
1150000,Appartements,250,3,4,Location,Almadies,Dakar
400000,Appartements,170,2,3,Location,Mamelles,Dakar
